identifier,gender,test preparation course,test,score
1,group A,none,math score,72
1,group A,none,reading score,72
1,group A,none,writing score,74
2,group A,completed,math score,69
2,group A,completed,reading score,90
2,group A,completed,writing score,88
3,group A,none,math score,90
3,group A,none,reading score,95
3,group A,none,writing score,93
4,group B,none,math score,47
4,group B,none,reading score,57
4,group B,none,writing score,44
5,group B,none,math score,76
5,group B,none,reading score,78
5,group B,none,writing score,75
6,group A,none,math score,71
6,group A,none,reading score,83
6,group A,none,writing score,78
7,group A,completed,math score,88
7,group A,completed,reading score,95
7,group A,completed,writing score,92
8,group B,none,math score,40
8,group B,none,reading score,43
8,group B,none,writing score,39
9,group B,completed,math score,64
9,group B,completed,reading score,64
9,group B,completed,writing score,67
10,group A,none,math score,38
10,group A,none,reading score,60
10,group A,none,writing score,50
11,group B,none,math score,58
11,group B,none,reading score,54
11,group B,none,writing score,52
12,group B,none,math score,40
12,group B,none,reading score,52
12,group B,none,writing score,43
13,group A,none,math score,65
13,group A,none,reading score,81
13,group A,none,writing score,73
14,group B,completed,math score,78
14,group B,completed,reading score,72
14,group B,completed,writing score,70
15,group A,none,math score,50
15,group A,none,reading score,53
15,group A,none,writing score,58
16,group A,none,math score,69
16,group A,none,reading score,75
16,group A,none,writing score,78
17,group B,none,math score,88
17,group B,none,reading score,89
17,group B,none,writing score,86
18,group A,none,math score,18
18,group A,none,reading score,32
18,group A,none,writing score,28
19,group B,completed,math score,46
19,group B,completed,reading score,42
19,group B,completed,writing score,46
20,group A,none,math score,54
20,group A,none,reading score,58
20,group A,none,writing score,61
21,group B,none,math score,66
21,group B,none,reading score,69
21,group B,none,writing score,63
22,group A,completed,math score,65
22,group A,completed,reading score,75
22,group A,completed,writing score,70
23,group B,none,math score,44
23,group B,none,reading score,54
23,group B,none,writing score,53
24,group A,none,math score,69
24,group A,none,reading score,73
24,group A,none,writing score,73
25,group B,completed,math score,74
25,group B,completed,reading score,71
25,group B,completed,writing score,80
26,group B,none,math score,73
26,group B,none,reading score,74
26,group B,none,writing score,72
27,group B,none,math score,69
27,group B,none,reading score,54
27,group B,none,writing score,55
28,group A,none,math score,67
28,group A,none,reading score,69
28,group A,none,writing score,75
29,group B,none,math score,70
29,group B,none,reading score,70
29,group B,none,writing score,65
30,group A,none,math score,62
30,group A,none,reading score,70
30,group A,none,writing score,75
31,group A,none,math score,69
31,group A,none,reading score,74
31,group A,none,writing score,74
32,group A,none,math score,63
32,group A,none,reading score,65
32,group A,none,writing score,61
33,group A,none,math score,56
33,group A,none,reading score,72
33,group A,none,writing score,65
34,group B,none,math score,40
34,group B,none,reading score,42
34,group B,none,writing score,38
35,group B,none,math score,97
35,group B,none,reading score,87
35,group B,none,writing score,82
36,group B,completed,math score,81
36,group B,completed,reading score,81
36,group B,completed,writing score,79
37,group A,none,math score,74
37,group A,none,reading score,81
37,group A,none,writing score,83
38,group A,none,math score,50
38,group A,none,reading score,64
38,group A,none,writing score,59
39,group A,completed,math score,75
39,group A,completed,reading score,90
39,group A,completed,writing score,88
40,group B,none,math score,57
40,group B,none,reading score,56
40,group B,none,writing score,57
41,group B,none,math score,55
41,group B,none,reading score,61
41,group B,none,writing score,54
42,group A,none,math score,58
42,group A,none,reading score,73
42,group A,none,writing score,68
43,group A,none,math score,53
43,group A,none,reading score,58
43,group A,none,writing score,65
44,group B,completed,math score,59
44,group B,completed,reading score,65
44,group B,completed,writing score,66
45,group A,none,math score,50
45,group A,none,reading score,56
45,group A,none,writing score,54
46,group B,none,math score,65
46,group B,none,reading score,54
46,group B,none,writing score,57
47,group A,completed,math score,55
47,group A,completed,reading score,65
47,group A,completed,writing score,62
48,group A,none,math score,66
48,group A,none,reading score,71
48,group A,none,writing score,76
49,group A,completed,math score,57
49,group A,completed,reading score,74
49,group A,completed,writing score,76
50,group B,completed,math score,82
50,group B,completed,reading score,84
50,group B,completed,writing score,82
51,group B,none,math score,53
51,group B,none,reading score,55
51,group B,none,writing score,48
52,group B,completed,math score,77
52,group B,completed,reading score,69
52,group B,completed,writing score,68
53,group B,none,math score,53
53,group B,none,reading score,44
53,group B,none,writing score,42
54,group B,none,math score,88
54,group B,none,reading score,78
54,group B,none,writing score,75
55,group A,completed,math score,71
55,group A,completed,reading score,84
55,group A,completed,writing score,87
56,group A,none,math score,33
56,group A,none,reading score,41
56,group A,none,writing score,43
57,group A,completed,math score,82
57,group A,completed,reading score,85
57,group A,completed,writing score,86
58,group B,none,math score,52
58,group B,none,reading score,55
58,group B,none,writing score,49
59,group B,completed,math score,58
59,group B,completed,reading score,59
59,group B,completed,writing score,58
60,group A,none,math score,0
60,group A,none,reading score,17
60,group A,none,writing score,10
61,group B,completed,math score,79
61,group B,completed,reading score,74
61,group B,completed,writing score,72
62,group B,none,math score,39
62,group B,none,reading score,39
62,group B,none,writing score,34
63,group B,none,math score,62
63,group B,none,reading score,61
63,group B,none,writing score,55
64,group A,none,math score,69
64,group A,none,reading score,80
64,group A,none,writing score,71
65,group A,none,math score,59
65,group A,none,reading score,58
65,group A,none,writing score,59
66,group B,none,math score,67
66,group B,none,reading score,64
66,group B,none,writing score,61
67,group B,none,math score,45
67,group B,none,reading score,37
67,group B,none,writing score,37
68,group A,none,math score,60
68,group A,none,reading score,72
68,group A,none,writing score,74
69,group B,none,math score,61
69,group B,none,reading score,58
69,group B,none,writing score,56
70,group A,none,math score,39
70,group A,none,reading score,64
70,group A,none,writing score,57
71,group A,completed,math score,58
71,group A,completed,reading score,63
71,group A,completed,writing score,73
72,group B,completed,math score,63
72,group B,completed,reading score,55
72,group B,completed,writing score,63
73,group A,none,math score,41
73,group A,none,reading score,51
73,group A,none,writing score,48
74,group B,none,math score,61
74,group B,none,reading score,57
74,group B,none,writing score,56
75,group B,none,math score,49
75,group B,none,reading score,49
75,group B,none,writing score,41
76,group B,none,math score,44
76,group B,none,reading score,41
76,group B,none,writing score,38
77,group B,none,math score,30
77,group B,none,reading score,26
77,group B,none,writing score,22
78,group B,completed,math score,80
78,group B,completed,reading score,78
78,group B,completed,writing score,81
79,group A,completed,math score,61
79,group A,completed,reading score,74
79,group A,completed,writing score,72
80,group A,none,math score,62
80,group A,none,reading score,68
80,group A,none,writing score,68
81,group A,none,math score,47
81,group A,none,reading score,49
81,group A,none,writing score,50
82,group B,none,math score,49
82,group B,none,reading score,45
82,group B,none,writing score,45
83,group B,completed,math score,50
83,group B,completed,reading score,47
83,group B,completed,writing score,54
84,group B,none,math score,72
84,group B,none,reading score,64
84,group B,none,writing score,63
85,group B,none,math score,42
85,group B,none,reading score,39
85,group B,none,writing score,34
86,group A,none,math score,73
86,group A,none,reading score,80
86,group A,none,writing score,82
87,group A,none,math score,76
87,group A,none,reading score,83
87,group A,none,writing score,88
88,group A,none,math score,71
88,group A,none,reading score,71
88,group A,none,writing score,74
89,group A,none,math score,58
89,group A,none,reading score,70
89,group A,none,writing score,67
90,group A,none,math score,73
90,group A,none,reading score,86
90,group A,none,writing score,82
91,group A,none,math score,65
91,group A,none,reading score,72
91,group A,none,writing score,74
92,group B,none,math score,27
92,group B,none,reading score,34
92,group B,none,writing score,36
93,group B,none,math score,71
93,group B,none,reading score,79
93,group B,none,writing score,71
94,group B,completed,math score,43
94,group B,completed,reading score,45
94,group B,completed,writing score,50
95,group A,none,math score,79
95,group A,none,reading score,86
95,group A,none,writing score,92
96,group B,completed,math score,78
96,group B,completed,reading score,81
96,group B,completed,writing score,82
97,group B,completed,math score,65
97,group B,completed,reading score,66
97,group B,completed,writing score,62
98,group A,completed,math score,63
98,group A,completed,reading score,72
98,group A,completed,writing score,70
99,group A,none,math score,58
99,group A,none,reading score,67
99,group A,none,writing score,62
100,group A,none,math score,65
100,group A,none,reading score,67
100,group A,none,writing score,62
101,group B,none,math score,79
101,group B,none,reading score,67
101,group B,none,writing score,67
102,group B,completed,math score,68
102,group B,completed,reading score,74
102,group B,completed,writing score,74
103,group A,none,math score,85
103,group A,none,reading score,91
103,group A,none,writing score,89
104,group B,completed,math score,60
104,group B,completed,reading score,44
104,group B,completed,writing score,47
105,group B,completed,math score,98
105,group B,completed,reading score,86
105,group B,completed,writing score,90
106,group A,none,math score,58
106,group A,none,reading score,67
106,group A,none,writing score,72
107,group A,none,math score,87
107,group A,none,reading score,100
107,group A,none,writing score,100
108,group B,completed,math score,66
108,group B,completed,reading score,63
108,group B,completed,writing score,64
109,group A,none,math score,52
109,group A,none,reading score,76
109,group A,none,writing score,70
110,group A,none,math score,70
110,group A,none,reading score,64
110,group A,none,writing score,72
111,group A,completed,math score,77
111,group A,completed,reading score,89
111,group A,completed,writing score,98
112,group B,none,math score,62
112,group B,none,reading score,55
112,group B,none,writing score,49
113,group B,none,math score,54
113,group B,none,reading score,53
113,group B,none,writing score,47
114,group A,none,math score,51
114,group A,none,reading score,58
114,group A,none,writing score,54
115,group A,completed,math score,99
115,group A,completed,reading score,100
115,group A,completed,writing score,100
116,group B,none,math score,84
116,group B,none,reading score,77
116,group B,none,writing score,74
117,group A,none,math score,75
117,group A,none,reading score,85
117,group A,none,writing score,82
118,group A,none,math score,78
118,group A,none,reading score,82
118,group A,none,writing score,79
119,group A,none,math score,51
119,group A,none,reading score,63
119,group A,none,writing score,61
120,group A,none,math score,55
120,group A,none,reading score,69
120,group A,none,writing score,65
121,group A,completed,math score,79
121,group A,completed,reading score,92
121,group A,completed,writing score,89
122,group B,completed,math score,91
122,group B,completed,reading score,89
122,group B,completed,writing score,92
123,group A,completed,math score,88
123,group A,completed,reading score,93
123,group A,completed,writing score,93
124,group B,none,math score,63
124,group B,none,reading score,57
124,group B,none,writing score,56
125,group B,none,math score,83
125,group B,none,reading score,80
125,group B,none,writing score,73
126,group A,none,math score,87
126,group A,none,reading score,95
126,group A,none,writing score,86
127,group B,none,math score,72
127,group B,none,reading score,68
127,group B,none,writing score,67
128,group B,completed,math score,65
128,group B,completed,reading score,77
128,group B,completed,writing score,74
129,group B,none,math score,82
129,group B,none,reading score,82
129,group B,none,writing score,74
130,group A,none,math score,51
130,group A,none,reading score,49
130,group A,none,writing score,51
131,group B,none,math score,89
131,group B,none,reading score,84
131,group B,none,writing score,82
132,group B,completed,math score,53
132,group B,completed,reading score,37
132,group B,completed,writing score,40
133,group B,completed,math score,87
133,group B,completed,reading score,74
133,group B,completed,writing score,70
134,group A,completed,math score,75
134,group A,completed,reading score,81
134,group A,completed,writing score,84
135,group B,completed,math score,74
135,group B,completed,reading score,79
135,group B,completed,writing score,75
136,group B,none,math score,58
136,group B,none,reading score,55
136,group B,none,writing score,48
137,group B,completed,math score,51
137,group B,completed,reading score,54
137,group B,completed,writing score,41
138,group B,none,math score,70
138,group B,none,reading score,55
138,group B,none,writing score,56
139,group A,none,math score,59
139,group A,none,reading score,66
139,group A,none,writing score,67
140,group B,completed,math score,71
140,group B,completed,reading score,61
140,group B,completed,writing score,69
141,group A,none,math score,76
141,group A,none,reading score,72
141,group A,none,writing score,71
142,group A,none,math score,59
142,group A,none,reading score,62
142,group A,none,writing score,64
143,group A,completed,math score,42
143,group A,completed,reading score,55
143,group A,completed,writing score,54
144,group B,none,math score,57
144,group B,none,reading score,43
144,group B,none,writing score,47
145,group B,none,math score,88
145,group B,none,reading score,73
145,group B,none,writing score,78
146,group A,none,math score,22
146,group A,none,reading score,39
146,group A,none,writing score,33
147,group B,none,math score,88
147,group B,none,reading score,84
147,group B,none,writing score,75
148,group B,none,math score,73
148,group B,none,reading score,68
148,group B,none,writing score,66
149,group A,completed,math score,68
149,group A,completed,reading score,75
149,group A,completed,writing score,81
150,group B,completed,math score,100
150,group B,completed,reading score,100
150,group B,completed,writing score,93
151,group B,completed,math score,62
151,group B,completed,reading score,67
151,group B,completed,writing score,69
152,group B,none,math score,77
152,group B,none,reading score,67
152,group B,none,writing score,68
153,group A,completed,math score,59
153,group A,completed,reading score,70
153,group A,completed,writing score,66
154,group B,none,math score,54
154,group B,none,reading score,49
154,group B,none,writing score,47
155,group B,none,math score,62
155,group B,none,reading score,67
155,group B,none,writing score,61
156,group A,completed,math score,70
156,group A,completed,reading score,89
156,group A,completed,writing score,88
157,group A,completed,math score,66
157,group A,completed,reading score,74
157,group A,completed,writing score,78
158,group B,none,math score,60
158,group B,none,reading score,60
158,group B,none,writing score,60
159,group A,completed,math score,61
159,group A,completed,reading score,86
159,group A,completed,writing score,87
160,group B,none,math score,66
160,group B,none,reading score,62
160,group B,none,writing score,64
161,group B,completed,math score,82
161,group B,completed,reading score,78
161,group B,completed,writing score,74
162,group A,completed,math score,75
162,group A,completed,reading score,88
162,group A,completed,writing score,85
163,group B,none,math score,49
163,group B,none,reading score,53
163,group B,none,writing score,52
164,group B,none,math score,52
164,group B,none,reading score,53
164,group B,none,writing score,49
165,group A,none,math score,81
165,group A,none,reading score,92
165,group A,none,writing score,91
166,group A,completed,math score,96
166,group A,completed,reading score,100
166,group A,completed,writing score,100
167,group B,completed,math score,53
167,group B,completed,reading score,51
167,group B,completed,writing score,51
168,group A,completed,math score,58
168,group A,completed,reading score,76
168,group A,completed,writing score,78
169,group A,completed,math score,68
169,group A,completed,reading score,83
169,group A,completed,writing score,78
170,group A,completed,math score,67
170,group A,completed,reading score,75
170,group A,completed,writing score,70
171,group B,completed,math score,72
171,group B,completed,reading score,73
171,group B,completed,writing score,74
172,group B,none,math score,94
172,group B,none,reading score,88
172,group B,none,writing score,78
173,group A,none,math score,79
173,group A,none,reading score,86
173,group A,none,writing score,81
174,group A,none,math score,63
174,group A,none,reading score,67
174,group A,none,writing score,70
175,group A,completed,math score,43
175,group A,completed,reading score,51
175,group A,completed,writing score,54
176,group A,completed,math score,81
176,group A,completed,reading score,91
176,group A,completed,writing score,87
177,group A,completed,math score,46
177,group A,completed,reading score,54
177,group A,completed,writing score,58
178,group A,completed,math score,71
178,group A,completed,reading score,77
178,group A,completed,writing score,77
179,group A,completed,math score,52
179,group A,completed,reading score,70
179,group A,completed,writing score,62
180,group A,completed,math score,97
180,group A,completed,reading score,100
180,group A,completed,writing score,100
181,group B,completed,math score,62
181,group B,completed,reading score,68
181,group B,completed,writing score,75
182,group A,none,math score,46
182,group A,none,reading score,64
182,group A,none,writing score,66
183,group A,none,math score,50
183,group A,none,reading score,50
183,group A,none,writing score,47
184,group A,none,math score,65
184,group A,none,reading score,69
184,group A,none,writing score,70
185,group B,completed,math score,45
185,group B,completed,reading score,52
185,group B,completed,writing score,49
186,group B,completed,math score,65
186,group B,completed,reading score,67
186,group B,completed,writing score,65
187,group B,none,math score,80
187,group B,none,reading score,76
187,group B,none,writing score,65
188,group B,completed,math score,62
188,group B,completed,reading score,66
188,group B,completed,writing score,68
189,group B,none,math score,48
189,group B,none,reading score,52
189,group B,none,writing score,45
190,group A,none,math score,77
190,group A,none,reading score,88
190,group A,none,writing score,87
191,group A,none,math score,66
191,group A,none,reading score,65
191,group A,none,writing score,69
192,group B,completed,math score,76
192,group B,completed,reading score,83
192,group B,completed,writing score,79
193,group A,none,math score,62
193,group A,none,reading score,64
193,group A,none,writing score,66
194,group B,completed,math score,77
194,group B,completed,reading score,62
194,group B,completed,writing score,62
195,group A,completed,math score,69
195,group A,completed,reading score,84
195,group A,completed,writing score,85
196,group B,none,math score,61
196,group B,none,reading score,55
196,group B,none,writing score,52
197,group B,completed,math score,59
197,group B,completed,reading score,69
197,group B,completed,writing score,65
198,group B,none,math score,55
198,group B,none,reading score,56
198,group B,none,writing score,51
199,group A,none,math score,45
199,group A,none,reading score,53
199,group A,none,writing score,55
200,group A,none,math score,78
200,group A,none,reading score,79
200,group A,none,writing score,76
201,group A,completed,math score,67
201,group A,completed,reading score,84
201,group A,completed,writing score,86
202,group A,none,math score,65
202,group A,none,reading score,81
202,group A,none,writing score,77
203,group B,none,math score,69
203,group B,none,reading score,77
203,group B,none,writing score,69
204,group A,none,math score,57
204,group A,none,reading score,69
204,group A,none,writing score,68
205,group B,none,math score,59
205,group B,none,reading score,41
205,group B,none,writing score,42
206,group B,completed,math score,74
206,group B,completed,reading score,71
206,group B,completed,writing score,78
207,group B,none,math score,82
207,group B,none,reading score,62
207,group B,none,writing score,62
208,group B,completed,math score,81
208,group B,completed,reading score,80
208,group B,completed,writing score,76
209,group A,none,math score,74
209,group A,none,reading score,81
209,group A,none,writing score,76
210,group A,none,math score,58
210,group A,none,reading score,61
210,group A,none,writing score,66
211,group B,completed,math score,80
211,group B,completed,reading score,79
211,group B,completed,writing score,79
212,group B,none,math score,35
212,group B,none,reading score,28
212,group B,none,writing score,27
213,group A,none,math score,42
213,group A,none,reading score,62
213,group A,none,writing score,60
214,group B,completed,math score,60
214,group B,completed,reading score,51
214,group B,completed,writing score,56
215,group B,completed,math score,87
215,group B,completed,reading score,91
215,group B,completed,writing score,81
216,group B,completed,math score,84
216,group B,completed,reading score,83
216,group B,completed,writing score,75
217,group A,completed,math score,83
217,group A,completed,reading score,86
217,group A,completed,writing score,88
218,group A,none,math score,34
218,group A,none,reading score,42
218,group A,none,writing score,39
219,group B,none,math score,66
219,group B,none,reading score,77
219,group B,none,writing score,70
220,group B,completed,math score,61
220,group B,completed,reading score,56
220,group B,completed,writing score,56
221,group A,completed,math score,56
221,group A,completed,reading score,68
221,group A,completed,writing score,74
222,group B,none,math score,87
222,group B,none,reading score,85
222,group B,none,writing score,73
223,group A,none,math score,55
223,group A,none,reading score,65
223,group A,none,writing score,62
224,group B,none,math score,86
224,group B,none,reading score,80
224,group B,none,writing score,75
225,group A,completed,math score,52
225,group A,completed,reading score,66
225,group A,completed,writing score,73
226,group A,none,math score,45
226,group A,none,reading score,56
226,group A,none,writing score,54
227,group A,none,math score,72
227,group A,none,reading score,72
227,group A,none,writing score,71
228,group B,none,math score,57
228,group B,none,reading score,50
228,group B,none,writing score,54
229,group B,none,math score,68
229,group B,none,reading score,72
229,group B,none,writing score,64
230,group A,completed,math score,88
230,group A,completed,reading score,95
230,group A,completed,writing score,94
231,group B,none,math score,76
231,group B,none,reading score,64
231,group B,none,writing score,66
232,group B,none,math score,46
232,group B,none,reading score,43
232,group B,none,writing score,42
233,group A,none,math score,67
233,group A,none,reading score,86
233,group A,none,writing score,83
234,group B,none,math score,92
234,group B,none,reading score,87
234,group B,none,writing score,78
235,group B,completed,math score,83
235,group B,completed,reading score,82
235,group B,completed,writing score,84
236,group B,none,math score,80
236,group B,none,reading score,75
236,group B,none,writing score,77
237,group B,none,math score,63
237,group B,none,reading score,66
237,group B,none,writing score,67
238,group A,completed,math score,64
238,group A,completed,reading score,60
238,group A,completed,writing score,74
239,group B,none,math score,54
239,group B,none,reading score,52
239,group B,none,writing score,51
240,group B,none,math score,84
240,group B,none,reading score,80
240,group B,none,writing score,80
241,group B,completed,math score,73
241,group B,completed,reading score,68
241,group B,completed,writing score,66
242,group A,none,math score,80
242,group A,none,reading score,83
242,group A,none,writing score,83
243,group A,none,math score,56
243,group A,none,reading score,52
243,group A,none,writing score,55
244,group B,none,math score,59
244,group B,none,reading score,51
244,group B,none,writing score,43
245,group B,none,math score,75
245,group B,none,reading score,74
245,group B,none,writing score,69
246,group B,none,math score,85
246,group B,none,reading score,76
246,group B,none,writing score,71
247,group B,none,math score,89
247,group B,none,reading score,76
247,group B,none,writing score,74
248,group A,completed,math score,58
248,group A,completed,reading score,70
248,group A,completed,writing score,68
249,group A,none,math score,65
249,group A,none,reading score,64
249,group A,none,writing score,62
250,group B,none,math score,68
250,group B,none,reading score,60
250,group B,none,writing score,53
251,group B,completed,math score,47
251,group B,completed,reading score,49
251,group B,completed,writing score,49
252,group A,none,math score,71
252,group A,none,reading score,83
252,group A,none,writing score,83
253,group A,completed,math score,60
253,group A,completed,reading score,70
253,group A,completed,writing score,70
254,group B,none,math score,80
254,group B,none,reading score,80
254,group B,none,writing score,72
255,group B,none,math score,54
255,group B,none,reading score,52
255,group B,none,writing score,52
256,group A,none,math score,62
256,group A,none,reading score,73
256,group A,none,writing score,70
257,group A,none,math score,64
257,group A,none,reading score,73
257,group A,none,writing score,68
258,group B,completed,math score,78
258,group B,completed,reading score,77
258,group B,completed,writing score,77
259,group A,none,math score,70
259,group A,none,reading score,75
259,group A,none,writing score,78
260,group A,completed,math score,65
260,group A,completed,reading score,81
260,group A,completed,writing score,81
261,group A,completed,math score,64
261,group A,completed,reading score,79
261,group A,completed,writing score,77
262,group B,completed,math score,79
262,group B,completed,reading score,79
262,group B,completed,writing score,78
263,group A,none,math score,44
263,group A,none,reading score,50
263,group A,none,writing score,51
264,group A,none,math score,99
264,group A,none,reading score,93
264,group A,none,writing score,90
265,group B,none,math score,76
265,group B,none,reading score,73
265,group B,none,writing score,68
266,group B,none,math score,59
266,group B,none,reading score,42
266,group B,none,writing score,41
267,group A,none,math score,63
267,group A,none,reading score,75
