male,female
promoted,not promoted
promoted,not promoted
promoted,not promoted
promoted,promoted
not promoted,not promoted
not promoted,not promoted
not promoted,promoted
promoted,not promoted
promoted,not promoted
promoted,not promoted
promoted,not promoted
not promoted,promoted
not promoted,not promoted
promoted,promoted
promoted,not promoted
promoted,not promoted
promoted,not promoted
promoted,promoted
promoted,promoted
promoted,not promoted
promoted,promoted
promoted,not promoted
promoted,not promoted
promoted,not promoted
promoted,promoted
