index,character,voice-actor,movie
0,Abby Mallard,Joan Cusack,Chicken Little
1,Abigail Gabble,Monica Evans,The Aristocats
2,Abis Mal,Jason Alexander,The Return of Jafar
3,Abu,Frank Welker,Aladdin
4,Achilles,None,The Hunchback of Notre Dame
5,Adella,Sherry Lynn,The Little Mermaid
6,Adorabeezle Winterpop,None,Wreck-It Ralph
7,The Agent,Greg Germann,Bolt
8,Agent Wendy Pleakley,Kevin McDonald,Lilo & Stitch
9,Ajax the Gorilla,None,Donald Duck and the Gorilla
10,Akela,John Abbott,The Jungle Book
11,Al the Alligator,Thurl Ravenscroft,Lady and the Tramp
12,Aladar,D. B. Sweeney,Dinosaur
13,Aladdin,Scott Weinger; Brad Kane,Aladdin
14,Alameda Slim,Randy Quaid,Home on the Range
15,Alan-a-Dale,Roger Miller,Robin Hood
16,Alana,Kimmy Robertson,The Little Mermaid
17,Alcmene,Barbara Barrie,Hercules
18,Alice,Kathryn Beaumont,Alice in Wonderland
19,Alice Bluebonnet,None,Make Mine Music
20,Alice's Sister,Heather Angel,Alice in Wonderland
21,Amelia Gabble,Carole Shelley,The Aristocats
22,Amos Slade,Jack Albertson,The Fox and the Hound
23,Amphitryon,Hal Holbrook,Hercules
24,Anastasia Tremaine,Lucille Bliss,Cinderella
25,Anda,Andrea Martin,Brother Bear 2
26,Andrina,Tara Strong,The Little Mermaid
27,Angel,Alyssa Milano,Lady and the Tramp II: Scamp's Adventure
28,Angelique,Bernadette Peters,Beauty and the Beast: The Enchanted Christmas
29,Angus MacBadger,Campbell Grant,The Adventures of Ichabod and Mr. Toad
30,Anita Radcliffe,Lisa Davis,101 Dalmatians
31,Anna,Kristen Bell,Frozen
32,Annette,Debi Derryberry,Lady and the Tramp II: Scamp's Adventure
33,April,None,House of Mouse
34,Apollo,Keith David,Hercules
35,Aquata,Grey DeLisle; Mona Marshall,The Little Mermaid
36,Aracuan Bird,Pinto Colvig,The Three Caballeros
37,The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame
38,Archimedes Q. Porter,Nigel Hawthorne,Tarzan
39,Archimedes,Junius Matthews,The Sword in the Stone
40,Ariel,Jodi Benson,The Little Mermaid
41,Arista,Kimmy Robertson,The Little Mermaid
42,Armoire,Jo Anne Worley,Beauty and the Beast
43,Arthur/Wart,Rickie Sorensen,The Sword in the Stone
44,Arthur/Wart,Richard Reitherman,The Sword in the Stone
45,Arthur/Wart,Robert Reitherman,The Sword in the Stone
46,Arthur,David Lander,Jungle Cubs
47,Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia
48,Atka,Jeff Bennett,Brother Bear 2
49,Atropos,Paddi Edwards,Hercules
50,Attina,Kari Wahlgren,The Little Mermaid
51,Audrey the Chicken,Estelle Harris,Home on the Range
52,Audrey Ramirez,Jacqueline Obradors,Atlantis: The Lost Empire
53,Aunt Sarah,Verna Felton,Lady and the Tramp
54,Aunt Siqiniq,Wendie Malick,Brother Bear 2
55,Aunt Taqqiq,Kathy Najimy,Brother Bear 2
56,Aurora,Mary Costa,Sleeping Beauty
57,Axe,Jeff Bennett,Beauty and the Beast: The Enchanted Christmas
58,B.E.N.,Martin Short,Treasure Planet
59,Babette,Mary Kay Bergman,Beauty and the Beast
60,Babyface Beagle,Terry McGovern,DuckTales
61,Baby Red Bird,Tress MacNeille,Mickey Mouse Clubhouse
62,Baby Herman,April Winchell,Who Framed Roger Rabbit
63,Baby Herman,Lou Hirsch,Who Framed Roger Rabbit
64,Backwoods Beagle,Danny Mann,DuckTales
65,Bacon Beagle,None,DuckTales
66,Baggy Beagle,Frank Welker,DuckTales
67,Bagheera,Sebastian Cabot,The Jungle Book
68,Baileywick,Tim Gunn,Sofia the First
69,Baker,Alex Murphey,Beauty and the Beast
70,Baker,Rob Paulsen,Cinderella II: Dreams Come True
71,Ballerina,None,Fantasia 2000
72,Baloo Bear,Phil Harris,The Jungle Book
73,Bambi,Donnie Dunagan,Bambi
74,Bambi,Hardie Albright,Bambi
75,Bambi,Alexander Gould,Bambi
76,Bambi's Mother,Paula Winslowe; Carolyn Hennesy,Bambi
77,Banzai,Cheech Marin,The Lion King
78,Bankjob Beagle,Peter Cullen,DuckTales
79,Bartholomew,Barrie Ingham,The Great Mouse Detective
80,Bashful,Scotty Mattraw,Snow White and the Seven Dwarfs
81,Basil of Baker Street,Barrie Ingham,The Great Mouse Detective
82,Baylene,Joan Plowright,Dinosaur
83,Bear,Dal McKennon,Bedknobs and Broomsticks
84,Beary Barrington,Haley Joel Osment,The Country Bears
85,Beast,Robby Benson,Beauty and the Beast
86,Beaver,Stan Freberg,Lady and the Tramp
87,Bella,Frank Welker,Mickey Mouse Clubhouse
88,Belle,Paige O'Hara,Beauty and the Beast
89,Ben,Billy Connolly,Pocahontas
90,Ben Ali Gator,Jim Cummings,Fantasia
91,Benjamin Clawhauser,Nate Torrence,Zootopia
92,Benny the Cab,Charles Fleischer,Who Framed Roger Rabbit
93,Bent-Tail the Coyote,Unknown,The Legend of Coyote Rock
94,Bent-Tail Junior,Unknown,Sheep Dog
95,Bentina Beakley,Joan Gerber,DuckTales
96,Beret Girl,Vicki Lewis,An Extremely Goofy Movie
97,Berlioz,Dean Clark,The Aristocats
98,Bernard,Bob Newheart,The Rescuers
99,Big Al,James Gammon,The Country Bears
100,Big Bad Wolf,Billy Bletcher,Three Little Pigs
101,Big Mama,Pearl Bailey,The Fox and the Hound
102,Bigtime Beagle,Frank Welker,DuckTales
103,Bill the Lizard,Larry Grey,Alice in Wonderland
104,Billy Boss,Thurl Ravenscroft,The Aristocats
105,Billy Bones,Patrick McGoohan,Treasure Planet
106,Bimbette,Kath Soucie,Beauty and the Beast
107,Binkie Muddlefoot,Susan Tolsky,Darkwing Duck
108,Binky Beagle,None,DuckTales
109,Black Bart,Thurl Ravenscroft,The Sword in the Stone
110,Blake,Nick Swardson,Bolt
111,Blaze,None,Tinker Bell and the Lost Treasure
112,Blue Fairy,Evelyn Venable,Pinocchio
113,Bobble,Rob Paulsen,Disney Fairies
114,Bolt,John Travolta,Bolt
115,Bomber Beagle,Robert Ridgely,DuckTales
116,Bonnie Hopps,Bonnie Hunt,Zootopia
117,Bookseller,Alvin Epstein,Beauty and the Beast
118,Boomer,Paul Winchell,The Fox and the Hound
119,Bonkers D. Bobcat,Jim Cummings,Bonkers
120,Boss Beaver,Brad Garrett,Timon and Pumbaa
121,Bouncer Beagle,Chuck McCann,DuckTales
122,Bowler Hat Guy,Stephen J. Anderson,Meet the Robinsons
123,Br'er Bear,Nick Stewart,Song of the South
124,Br'er Fox,James Baskett,Song of the South
125,Br'er Rabbit,Johnny Lee,Song of the South
126,Bradley Uppercrust III,Jeff Bennett,An Extremely Goofy Movie
127,Bruno the Dog,Jimmy MacDonald; Frank Welker,Cinderella
128,Bruton,Peter Siragusa,Dinosaur
129,Brutus and Nero,Candy Candido,The Rescuers
130,Buck,Cuba Gooding Jr.,Home on the Range
131,Buck Cluck,Garry Marshall,Chicken Little
132,Bucky Bug,None,Silly Symphonies
133,Bucky Oryx-Antlerson,Byron Howard,Zootopia
134,Bucky the Squirrel,Bob Bergen,The Emperor's New Groove
135,Buford the Cook,Michael Colyar,The Princess and the Frog
136,Bugle Beagle,Brian Cummings,DuckTales
137,Burger Beagle,Chuck McCann,DuckTales
138,Buster,Chazz Palminteri,Lady and the Tramp II: Scamp's Adventure
139,Butch the Bulldog,Frank Welker,Bone Trouble
140,Buzzie the Vulture,J. Pat O'Malley,The Jungle Book
141,Cadpig,Kath Soucie,101 Dalmatians: The Series
142,Calliope,Lillias White,Hercules
143,Candlehead,Katie Lowes,Wreck-It Ralph
144,The Captain,Thurl Ravenscroft,One Hundred and One Dalmatians
145,Captain Amelia,Emma Thompson,Treasure Planet
146,Captain Hook,Hans Conried,Peter Pan
147,Captain John Smith,Mel Gibson,Pocahontas
148,Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame
149,Carl the Robot,Harland Williams,Meet the Robinsons
150,Carlotta the Maid,Edie McClurg,The Little Mermaid
151,The Carpenter,J. Pat O'Malley,Alice in Wonderland
152,Casey Junior,Margaret Wright,Dumbo
153,Cash,Patrick Swayze,The Fox and the Hound 2
154,Cassim,John Rhys-Davies,Aladdin and the King of Thieves
155,The Caterpillar,Richard Haydn,Alice in Wonderland
156,Catty the Elephant,Noreen Gammill,Dumbo
157,Cecil the Vulture,Michael McKean,Jungle Cubs
158,Cedric the Sorcerer,Jess Harnell,Sofia the First
159,Chaca,Kellyann Kelso,The Emperor's New Groove
160,Chandeleria,April Winchell,Belle's Magical World
161,Chair Mouse,Bernard Fox,The Rescuers
162,Chainsaw,Frank Welker,Goof Troop
163,Charlotte La Bouff,Jennifer Cody,The Princess and the Frog
164,Cheetata and Cheetato,Rob Paulsen; Jim Cummings,Timon and Pumbaa
165,Chef Bouche,Brian Cummings,Beauty and the Beast
166,Chef Louis,Rene Auberjonois,The Little Mermaid
167,Chernabog,Corey Burton,Fantasia
168,Cheshire Cat,Sterling Holloway,Alice in Wonderland
169,Chi-Fu,James Hong,Mulan
170,Chicha,Wendie Malick,The Emperor's New Groove
171,Chicken Little,Zach Braff,Chicken Little
172,Chief,Pat Buttram,The Fox and the Hound
173,Chief Bogo,Idris Elba,Zootopia
174,Chief Powhatan,Russell Means,Pocahontas
175,Chien-Po,Jerry Tondo,Mulan
176,Chip,James MacDonald,Private Pluto
177,Chip Potts,Bradley Michael Pierce,Beauty and the Beast
178,Christopher Robin,Bruce Reitherman,Winnie the Pooh and the Honey Tree
179,Cinderella,Ilene Woods,Cinderella
180,Circus Animals,None,Dumbo
181,Clank,Jeff Bennett,Disney Fairies
182,Clara Cluck,Florence Gill,Orphan's Benefit
183,Clarabelle Cow,Marcellite Garner,Plane Crazy
184,Clayton,Brian Blessed,Tarzan
185,Cleo,None,Pinocchio
186,Clio,Vanéese Y. Thomas,Hercules
187,Cloak and Dagger,None,The Little Mermaid II: Return to the Sea
188,Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame
189,Clotho,Amanda Plummer,Hercules
190,Clover,Wayne Brady,Sofia the First
191,The Coachman,Charles Judels,Pinocchio
192,Cobra Bubbles,Ving Rhames,Lilo & Stitch
193,Codfish,Robert Holt,Bedknobs and Broomsticks
194,Cody,Adam Ryen,The Rescuers Down Under
195,Cogsworth,David Ogden Stiers,Beauty and the Beast
196,Colette,Kath Soucie,Lady and the Tramp II: Scamp's Adventure
197,The Colonel,J. Pat O'Malley,101 Dalmatians
198,Colonel Hathi,J. Pat O'Malley,The Jungle Book
